2016-05-01T23:38:52.943+0200 I NETWORK  [conn55] end connection 127.0.0.1:58201 (2 connections now open)
2016-05-01T23:38:52.969+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58202 #56 (3 connections now open)
2016-05-01T23:41:14.100+0200 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.0.162, "nodename nor servname provided, or not known"), (192.168.0.162, "nodename nor servname provided, or not known") ]
2016-05-01T23:41:57.565+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58239 #57 (4 connections now open)
2016-05-01T23:41:57.566+0200 I NETWORK  [conn57] end connection 127.0.0.1:58239 (3 connections now open)
2016-05-01T23:41:57.575+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58240 #58 (4 connections now open)
2016-05-02T02:48:19.452+0200 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain address information for hostname Fredriks-MacBook-Pro-2.local: nodename nor servname provided, or not known
2016-05-02T07:47:38.376+0200 I NETWORK  [conn58] end connection 127.0.0.1:58240 (3 connections now open)
2016-05-02T07:47:38.376+0200 I NETWORK  [conn52] end connection 127.0.0.1:57790 (3 connections now open)
2016-05-02T07:47:38.377+0200 I NETWORK  [conn54] end connection 127.0.0.1:57977 (3 connections now open)
2016-05-02T07:47:38.377+0200 I NETWORK  [conn56] end connection 127.0.0.1:58202 (3 connections now open)
2016-05-02T07:47:46.251+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58460 #59 (1 connection now open)
2016-05-02T07:47:46.262+0200 I NETWORK  [conn59] end connection 127.0.0.1:58460 (0 connections now open)
2016-05-02T07:47:46.270+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58461 #60 (1 connection now open)
2016-05-02T07:47:54.838+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58464 #61 (2 connections now open)
2016-05-02T07:47:54.839+0200 I NETWORK  [conn61] end connection 127.0.0.1:58464 (1 connection now open)
2016-05-02T07:47:54.845+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58465 #62 (2 connections now open)
2016-05-02T07:48:08.393+0200 I NETWORK  [conn62] end connection 127.0.0.1:58465 (1 connection now open)
2016-05-02T07:48:08.394+0200 I NETWORK  [conn60] end connection 127.0.0.1:58461 (0 connections now open)
2016-05-02T07:48:13.790+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58471 #63 (1 connection now open)
2016-05-02T07:48:13.797+0200 I NETWORK  [conn63] end connection 127.0.0.1:58471 (0 connections now open)
2016-05-02T07:48:13.804+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58472 #64 (1 connection now open)
2016-05-02T07:49:22.110+0200 I NETWORK  [conn64] end connection 127.0.0.1:58472 (0 connections now open)
2016-05-02T07:49:26.923+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58480 #65 (1 connection now open)
2016-05-02T07:49:26.931+0200 I NETWORK  [conn65] end connection 127.0.0.1:58480 (0 connections now open)
2016-05-02T07:49:26.937+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58481 #66 (1 connection now open)
2016-05-02T07:50:23.907+0200 I NETWORK  [conn66] end connection 127.0.0.1:58481 (0 connections now open)
2016-05-02T07:50:27.399+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58490 #67 (1 connection now open)
2016-05-02T07:50:27.406+0200 I NETWORK  [conn67] end connection 127.0.0.1:58490 (0 connections now open)
2016-05-02T07:50:27.413+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58491 #68 (1 connection now open)
2016-05-02T07:50:29.501+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58492 #69 (2 connections now open)
2016-05-02T07:50:29.502+0200 I NETWORK  [conn69] end connection 127.0.0.1:58492 (1 connection now open)
2016-05-02T07:50:29.508+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58493 #70 (2 connections now open)
2016-05-02T07:50:32.379+0200 I NETWORK  [conn70] end connection 127.0.0.1:58493 (1 connection now open)
2016-05-02T07:50:32.379+0200 I NETWORK  [conn68] end connection 127.0.0.1:58491 (0 connections now open)
2016-05-02T07:50:48.663+0200 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.0.162, "nodename nor servname provided, or not known"), (192.168.0.162, "nodename nor servname provided, or not known") ]
2016-05-02T07:52:37.307+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58534 #71 (1 connection now open)
2016-05-02T07:52:37.316+0200 I NETWORK  [conn71] end connection 127.0.0.1:58534 (0 connections now open)
2016-05-02T07:52:37.324+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58535 #72 (1 connection now open)
2016-05-02T07:53:29.457+0200 I NETWORK  [conn72] end connection 127.0.0.1:58535 (0 connections now open)
2016-05-02T07:53:33.257+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58543 #73 (1 connection now open)
2016-05-02T07:53:33.264+0200 I NETWORK  [conn73] end connection 127.0.0.1:58543 (0 connections now open)
2016-05-02T07:53:33.272+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58544 #74 (1 connection now open)
2016-05-02T07:53:34.487+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58545 #75 (2 connections now open)
2016-05-02T07:53:34.488+0200 I NETWORK  [conn75] end connection 127.0.0.1:58545 (1 connection now open)
2016-05-02T07:53:34.494+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58546 #76 (2 connections now open)
2016-05-02T07:55:01.522+0200 I NETWORK  [conn76] end connection 127.0.0.1:58546 (1 connection now open)
2016-05-02T07:55:01.522+0200 I NETWORK  [conn74] end connection 127.0.0.1:58544 (0 connections now open)
2016-05-02T07:55:05.262+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58558 #77 (1 connection now open)
2016-05-02T07:55:05.269+0200 I NETWORK  [conn77] end connection 127.0.0.1:58558 (0 connections now open)
2016-05-02T07:55:05.275+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58559 #78 (1 connection now open)
2016-05-02T07:55:11.333+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58565 #79 (2 connections now open)
2016-05-02T07:55:11.334+0200 I NETWORK  [conn79] end connection 127.0.0.1:58565 (1 connection now open)
2016-05-02T07:55:11.339+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58566 #80 (2 connections now open)
2016-05-02T07:56:15.846+0200 I NETWORK  [conn80] end connection 127.0.0.1:58566 (1 connection now open)
2016-05-02T07:56:15.846+0200 I NETWORK  [conn78] end connection 127.0.0.1:58559 (0 connections now open)
2016-05-02T07:56:18.912+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58572 #81 (1 connection now open)
2016-05-02T07:56:18.923+0200 I NETWORK  [conn81] end connection 127.0.0.1:58572 (0 connections now open)
2016-05-02T07:56:18.931+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58573 #82 (1 connection now open)
2016-05-02T07:56:21.864+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58574 #83 (2 connections now open)
2016-05-02T07:56:21.865+0200 I NETWORK  [conn83] end connection 127.0.0.1:58574 (1 connection now open)
2016-05-02T07:56:21.869+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58575 #84 (2 connections now open)
2016-05-02T07:57:22.414+0200 I NETWORK  [conn84] end connection 127.0.0.1:58575 (1 connection now open)
2016-05-02T07:57:22.414+0200 I NETWORK  [conn82] end connection 127.0.0.1:58573 (0 connections now open)
2016-05-02T07:57:25.964+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58585 #85 (1 connection now open)
2016-05-02T07:57:25.984+0200 I NETWORK  [conn85] end connection 127.0.0.1:58585 (0 connections now open)
2016-05-02T07:57:25.994+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58586 #86 (1 connection now open)
2016-05-02T07:58:22.143+0200 I NETWORK  [conn86] end connection 127.0.0.1:58586 (0 connections now open)
2016-05-02T07:58:25.604+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58593 #87 (1 connection now open)
2016-05-02T07:58:25.617+0200 I NETWORK  [conn87] end connection 127.0.0.1:58593 (0 connections now open)
2016-05-02T07:58:25.625+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58594 #88 (1 connection now open)
2016-05-02T07:58:27.039+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58595 #89 (2 connections now open)
2016-05-02T07:58:27.040+0200 I NETWORK  [conn89] end connection 127.0.0.1:58595 (1 connection now open)
2016-05-02T07:58:27.044+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58596 #90 (2 connections now open)
2016-05-02T07:59:21.337+0200 I NETWORK  [conn90] end connection 127.0.0.1:58596 (1 connection now open)
2016-05-02T07:59:21.337+0200 I NETWORK  [conn88] end connection 127.0.0.1:58594 (1 connection now open)
